sentiment,content
love,as a proper journo i would have to agree with you  
worry,i ve noticed enjoy another rainy day
worry,thought you might be interested in see who s viewing your photos
fun,recording an acoustic track for you sexy kids
worry,sorry to hear that keep the faith though i might not be as bad as you think
neutral,it is supposed to be an unrelated story wise new part of the fallout series they re working on only the name is out
empty,yeah you re really annoying
love,i have a great house to sell you comes complete with a riding mower
neutral,one liner movie reviews can you add more
relief,sitting in a shadow of the tree in the heart of the city listening to panic waiting for the bus thanks wind for being so pleasant a
love,cowboy westerns haven t seen those in a while good luck
neutral,good morning my fellow tweeters
happiness,thanks for the retweet
happiness,i m done haha house md marathon ulet
happiness,hi miss isabelle here
worry,ooh nice well i guess not nice at the moment being windy and rainy but i like rain
fun,haha rite im freeeeeeee britneys spears listenin time
surprise,god assignments are stressful but its finished now lol and im off to bedd
worry,haha ie it s expensive hm let me message you later
love,putting up a half naked dougie poster i love sugar s ladmag
neutral,i would prefer   more monday
fun,aww thanks bro glad i got u active on twitter
worry,is watching the final underbelly
neutral,keep trying taking texts all week long
happiness,off to england during the summer holidays this year yay
love,peace good morning
happiness,it s raining
worry,yeah hun it was a good night my ankile is even more fucked now tho
happiness,thankful for the rain for our garden the kids and i are starting on our gardening lapbook thanks heidi
neutral,do you guys like fish sticks
enthusiasm,i bought a italian horseshoe charm dragon it seems to be very strong
worry,getting my phone back this week yeeeewww
love,lying with my new lab pup on my lap
happiness,pj days are the best days
happiness,don t be worried i m safe and sound   you
love,had so much fun today i love alyssa arellano and mika reyes
neutral,tea at lee rosy s
happiness,good morning it s going to be a kick butt day
worry,is what it takes i am soooo dragging his ass up there
happiness,morning sunshiines
neutral,yes i am do you want to meet
enthusiasm,off today no wonder i love mondays movie theatre here i come
neutral,hi babe how you doing
love,very good morning coffee and a taylor swift cd starts it off
relief,gonna try to get a couple hours of sleep love going to bed at   am later twitter
enthusiasm,about   again todayy yayy
love,staying afterschool today not that i have any friends on here but if i did i d tell em to text me lol likin us  
happiness,cool linux
happiness,happy star wars day everyone may the  th be with you all xxx
relief,everythings fine now
worry,he ll be   in july i m just soo stoked especially since he sleeps with us lol he refuses to wear diapers anymore
fun,good morning everyone just finished breakfast and getting ready to see what this wonderful day has in store for me
happiness,it s fun to see that glimpse of your life
neutral,lol i get about the same reaction when i mention my new goal kona triathlon now that boston marathon is done
neutral,looking for a new sms sending solution get ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½  free sms with every itagg
sadness,just kidding don t go around quoting me
empty,til the next asaran
sadness,good morning misfit passes you tylenol
happiness,thanks for the reminder hope all have a great time
neutral,afc oh yess
love,i am watchinggg the new video of its sooo good addicted
worry,done with fnr on fox charlotte about to record online commentary find it at www myfoxcharlotte com under rising tab great team fnr
happiness,coffee gym studio story of my life these days so grateful
love,i love these clutches i m lusting after one in bright yellow
neutral,off for a run moon day is not that bad after all fb
neutral,check this video out bylaurenluke make up launch they are here available now
happiness,i created my account just to get a chance to chat with you i admire you you re amazing you inspire me to write  
worry,ha pc and router have been off and on again many times i assure you funny thing is the laptop and phone connect fine
relief,it was worth it
surprise,thinks that the limit of   letters is really not fair   would be better
relief,finally off now the day starts   be nice maybe with a nice ending
surprise,i hope that everyone has been having a great week let me know if you think im crazy for hating coffee xd
neutral,is currently watching supernatural whilst waiting for skins to come on
love,goldengoodas thanks hun i m working hard over here thanks mama i yuhh you
neutral,whoa i ve got to go to bed night
enthusiasm,hope you find a nice and healthy also cheap breakfast
love,if you see it at nova on a monday tickets are only  
relief,reporting form iit delhi rains just started here picking up speed providing welcome relief to all hostels
fun,having a very lazy day playing xbox and drinking tea
worry,don t let him hear you
love,feeling loved my mom got me a nikon cool pix for my birthday
happiness,dear daniel good news from nintendo they want you as a potential lotchecktester hoffentlich wirds was mit der stelle
love,i m feelin aiden today on the bus now die romatic
love,happy star wars day everyone may the  th be with you
neutral,yeah i posted it in the news blog yesterday
neutral,just noticed the new sidebar on twitter com looks nice
happiness,first day at the new job yeah
neutral,g mornin
sadness,i wish i could take my pillow to school dead serious
happiness,i wish i was there but i live in holland but i m going to see you in paris
surprise,thought you might be interested in see who s viewing your photos
enthusiasm,lookin forward to liverpool  mz
neutral,boring what ugh come back to of then
love,guess what i listened to love story   times on my ipod you evil woman youve taken over my life lol
sadness,don t know it really hurt my arm guess you have to booze me or just ask or if you don t believe me
worry,located ordered a new cooker today feel i ve got a real bargain from ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½  cheaper than the place i almost used
neutral,download movie a good day to be black   sexy cool movie
neutral,morning back to all
love,there are three broody ones atm i have a china eggs under them to keep them happy ish
love,thank you that s really of sweet of you
neutral,oh jonas brother s  d movie comes out next week in kangaroo land i missed it when it was here
love,i m sure it was amazing wish i could have been there you re an incredible phenomenal amazingly talented singer
happiness,happy monday lots of little things to do today tried to water plants out front very early in jammies got caught by two neighbors
worry,last class at     one final tomorrow and   finals on friday
neutral,i think the pool bit has the possibility to become an internet sensation
worry,thanks i have to finish schoolwork today no rehearsal tonight though what ru doing
sadness,i am sleeepyyy today busy work     library class       tanning packing bit of sleep atlantic city airport myrtle beach
happiness,well not just making dinner making dinner with wet hair
fun,it s easy just turn your keyboard upside down
sadness,is pretty dang tired but chambers class is for napping
happiness,saturday is partytiiime
neutral,having my dinner eating bangus it s a fish
neutral,morning how is everyone
happiness,dinner with ali tonight celebrating her first day at the new job will be near trader joe s might just have to stop in
happiness,oh yes level  
love,on a better note smile if u have something to be thankful for
empty,btw that song is you ll always find ur way back home by hannah montana
neutral,see u bye see u i love the hot 
neutral,good morning tweeps wishing you all a great day
neutral,based on future and forgetting ignoring present who is the best keeper according to you dhoni or parthiv
sadness,wait a min u pretty much home til u jump the pond i have   wk   go if i could find a cheap flt it s a thought haha
happiness,i just read online the article you mentioned meh i am very happy to be stuck on you and the guys just try and get rid of me
surprise,finished work midday had kiddie dinner now have no get up go ah well it s bank holiday fb
happiness,starting the video editing of the first spanking movie we did with mina it will be added to the next update
love,what makes me happy my daughter my family their support money shopping restaurants
surprise,afternoon u ve got a new pic nice specs
relief,do i seem brighter more colorful
neutral,do you know what s my best tactic my best tactic is to just go with the flow and you don t care
neutral,or maybe i joined you in denial either way it s the best way to deal with monday
empty,welcome
surprise,eating an apple for once in my life thought you would like to know
happiness,good morning hope u all have a great day
worry,done pots had lunch now eatin chocolate lol
neutral,i try my best
relief,ahahaha okay deal now i only have to snuff hermione out
worry,shoutout to reyah my fellow philly homegirl we re both making the best of hard situations push pray until something happens much love
fun,mufasa warriors or the ocean hahahahahaha
surprise,oh so this could well be your last post
happiness,can t wait   hand in work tomorrow then im practically finished for the year yay
enthusiasm,hey thanks for following how is it going
enthusiasm,good morning
happiness,yup even though its a lil rainy out lol hope ya have a good day
neutral,ten bucks says i know where your going and if it s where i think it is let me know if my boulder is still on the beach
happiness,zanidia thanks udah di follow
happiness,thanks
sadness,so tired after work but i have king s bounty add on and a vampyre story for a evening and x men comixes is completely donloaded
love,yessssss wore myself out this weekend planting my garden and working
happiness,whoa steady there mate don t fall down
worry,i just used untweeps to unfollow   tweeps who haven t tweeted recently goed idee
worry,doing homework and then bball
happiness,thanks so much for following me here too i will keep you all up to date as much as possible on my makeup line plus all new collections
surprise,feeling much better doing history research
love,i loooooove bank holidays
neutral,and it s off to work i go only     days until the kiddo s finish
happiness,good morning twiggas and twitches getcha motivation on
worry,not ideal bank holiday conditions a little over cast and rainy but perfect for a lazy day with a dvd
love,pleaseee give me a shoutout love georgia uk
worry,i wish i had a smartphone with an irc app that d be pretty cool
happiness,oooooo no i have not glad to hear it was incredible though i still have it bookmarked to try sometime
happiness,a little tired but gland its bank holiday here so i can have a lie in
happiness,yay busy is good
surprise,the new series of the hills was on yesterday in uk it was amazing you looked really pretty on your birthday too
happiness,good midday
love,brides a la mode pow wow first thing this morning this past weekend s lovely wedding fresh in my mind pics soon
worry,so i was half asleep when i wrote the previous message greatest friends haha you are
empty,making a twitter account
happiness,picture to burn taylor swift great song
happiness,hahaha i was busy now i see what i replied to you yes that is true
love,one day i hope to retire to one of his floating islands
neutral,watching good morning america
neutral,long night ahead
neutral,wee done with advance audit paper
neutral,mornin
worry,friends are the same soul different bodies plato
worry,just got home doing art all day i want to be in a film
happiness,    someone is thinking of me good luck to lynny and her tattoo
fun,waiting for hubby wake up had entirely too much fun wit tha seester last night
happiness,bank holiday in london woohoo
worry,yeah the spammers are discriminating none of the females are part of the target group apparently
sadness,trying to figure out this whole twitter thing thanks scott allison now i can t concentrate on work
happiness,yes today is star wars day may the  th be with you
neutral,waching gray s antomy
neutral,you have a plurk account too
neutral,anyone of you indie heads know what donie from the hassle merchants surname is nialler  help need for copy
happiness,yay hope your day at work is wonderful sis we have a bank holiday in england today so everyone is off work
worry,getting ready to preach at church this sunday first time back in over   months especially for mother s day
worry,   pm todays a drag for me so bored im about to get into the romance book so i prob wont be on til the morn night twitter babes
happiness,oh the mint lounge awesome night
neutral,well at least you wont be late
worry,haha i m convinced you d be great at it
neutral,just thought of a spanish name that she will pretend to be one night out ariella gonzalez like it don t care because i do
worry,love your books
love,you re one very talented singer dancer and actress love your songs i look forward to your next album cheers from the east
surprise,what you said about aj made no sense hahaha what were you talking about and i loved that picture of you and colin
enthusiasm,early monday cramming yay only a few weeks left
neutral,thank you very much for the follow i have re followed you also
relief,haha moms back today from a weekend away her first words whys the house so dirty i love life
worry,working on a bank holiday but i don t mind it s all good fun
fun,sitting with sabbeth in first period buhahaha we are so cool sabbeth lmao
relief,a sweat sweat deal i thought he was sweet it starts with pronouns and then moves onto spelling trentles
neutral,learning french funy school day today don t be mad about english
neutral,well who can argue with gibbs and win p finally someone who knows gibbs n tony
sadness,on my way to school not feeln this rainy day at all but i had lots of fun this weekend
fun,no i dont think its bad and its very well edited too
worry,watching old skool fall out boy vids
worry,get a dachshund they are awesome at getting stuck in silly places i should know i breed them
happiness,afternoon have the first rehearsal with this extremely talented singer songwriter today wish me luck
surprise,i ve just bought   tickets to see the latest show of gad elmaleh i m so so happyyyy
neutral,its never ending
neutral,rvitek weidling thx all it s a  k capacity bought second hand
neutral,t bone s gone to sleep think we re gonna join him
worry,that s great to hear
happiness,day   of the   day shred and day   of special k challenge i feel fantastic
neutral,zen related stuff go with the flow very easy to accomplish it started to rain so the rain will flush me away
happiness,i m thinking you deserve an award a big shiny one
neutral,i ll give you directions from hjaia to covington
worry,watching   children and it i really should be studying i ll start soon
neutral,ok take care
neutral,just completed button hunt  
relief,good evening enjoying vacation eventhough it is boring pray for david cook s brother rip
worry,learning for school now
worry,are they both still talking to you then
happiness,hehe thanks that had everyone in my class laughing too
hate,in that case that s a stupid move i thought they were being b a
enthusiasm,yeah it s good if you re not going to use it give it to me i want to watch star trek
love,good morning it s raining here
happiness,missing my husband but it was nice to wake up in my parents house the dogs are ecstatic
neutral,i always appreciate your musings
hate,about to go to school to help my mother set up for teacher appreciation week how ironic is that natalee
neutral,ok darl i will suggest you to the mua tracie weaver as she ll be making the decision
love,you re such a sappy little fellow thanks for all the well wishes i ll need them after today i have one more exam
neutral,good morning
fun,nope day off sleep time ha
hate,first year in ages where i m not going to the crafty raft o i don t mind though i don t even like the crafty raft
worry,hope sequel edits go well me and my notebook will be looking for a place to sit after pt
neutral,will try to make it there at    pm
love,loves the mr oh so much these days
worry,me here again
love,damn long shift tonight i really should sleep but i m not tired had a nice talk with jon after work gotta love that boy
happiness,a good girl nevah tells hahahahaha hope you had a good weekend
worry,yeah yesterday i turned   my parents rented me out a hummer limo it was pretty cool
worry,happy monday tweeples hope it wasn t to hard to get out of bed and back in gear
fun,yeah getting shows can be an interesting process the key is following up at least that s what i ve learned so far
neutral,i ll be at the new movie showing at the franklin on thursday night several of the sla faculty will be in attendance
neutral,back to house work now
happiness,bought my dress yesterday only   more days til chris is home so excited gavin has his first tooth
neutral,is tired and turning off the internet you can play on it in the morning
love,yeah tila is a little cutie and a little nutty but then so am i and my sweetheart she thinks she cute too
neutral,its a damn shame they wont let the little one play slots she is lucky
worry,if i buy the petit financiers under the guise of a gift for someone else maybe then i won t feel guilty about eating them
hate,sometimes people never learn to shut up and stop talking shit
neutral,i am gonna hanging out with my friends luvin jonas episode  
neutral,may the forth be with you
happiness,wait cool and a sliding door that s an oxymoron
love,hahaha my boyfriend yeah he looked so different there but he s so cute i so want to watch the movie
happiness,employee orientation for serco yayy i m excited nervous wish me luck
happiness,yeah it s good just startled me
relief,is this a new album about bloody time too
neutral,thanks anyway
neutral,by saying a big hello to you
sadness,besides feeling sick some things have made me feel particularly happy
fun,wooooo interesting thanks for the info
neutral,it does
relief,finally got all   overdue books out of the little room and into my now overstuffed back pack
worry,mornin birdie have a fun filled day sweets
happiness,hey buck love u loads love what the buck
love,have i ever mentioned i love ellen a lot
worry,he won t i know he won t
neutral,my name is toggling in and out of google suggestions help me by searching more for ganesh jaju and clicking on some link
love,awesome and exciting
love,hey life i love you translation i love life
worry,  days today i can t believe it s been   months i m nervous about what i m gonna say later but i m gonna keep comin back
neutral,hello may you have a great day
surprise,off to school who knows what to expect bring on life and all of it s suprises
love,one good deed deserves another i hope to help someone else some day
relief,times for lame school ugh xp thank god mondays r quick for me
happiness,lol me too going out at  am isn t as easy as it used to be
happiness,alhamdulilah i got accepted into nafa
neutral,there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy
relief,thanks for viewing my portfolio www wahliao com i ll be updating it sometimes will keep u updated
fun,hi waking up and not lazy at all you would be proud of me   am here btw nice colour not burnt
empty,is making a cuppa coffeee
happiness,i appreciate you
neutral,hey it s easy just type what you re doing just like facebook but much simpler have a good day
neutral,lmao lucky it s   minutes on foot for me ewww school lol on the bus now
happiness,girl talk is awesome
worry,planning to run riot in luton today ba haa not reeeally where s the library in this skank town though
neutral,getting ready for school class starts at   critique at noon i ll be painting my vermeer most of the day though
neutral,mmichelle  g morning headed into the classroom now have a good one
fun,  more days before the big conference central eastern europe caspian scout group meeting it is almost too long for twitter
happiness,congratulations i am heart hacker not a computer hacker
neutral,you can turn the bird sounds off if you like in twitterena check out settings from your home page
happiness,good morning
love,happy may bank holiday british peeps
happiness,goooooodmorning
neutral,is done reading the book magnonotes na ako sa mga kailangang imemorize
love,ahh i love u u got a twitterrr
neutral,getttin ready
sadness,i am grateful for a great marriage awesome kids and a business that rocks i guess the rest of my family is ok too
worry,this is for nicole ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½ its raining make sure you bring an umbrellaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¿ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½ see its not about the pack train i m on today
happiness,it s time for school y all   happy starwars day
worry,can i help in any way
love,awwwww and the gorgeous photo from california you two make me melt
neutral,just bad good leader and delegate it
sadness,good morning kid going back to school after   sick days looking forward to a productive week happy monday
neutral,oooooooooook xd que aproveche la cancion esta genial
neutral,morning trish have fun today
neutral,watching matilda
happiness,well now i m gonna be on a mission to find their music
love,i wov you
happiness,yeah i m so excited
neutral,just joined a twibe visit to join not a spinner myself but do know and respect spinners need coffee
sadness,fuckyoumonday i like it it s a totally crap tastic rainy day here i m off to work hugs
neutral,came from greenbelt power
worry,good luck jen all the best am sure it will be fine
sadness,not yet too early in the am
relief,bye for now people
relief,anyone plan on revolutionizing real estate this week
worry,try have a read of the paul mckenna book i can make you thin it has some good advice on how bad traditional diets are
neutral,you will hav to ask him
neutral,instant internet marketing empire bonus recoup your investment in   hours or less
fun,hanging out in myrtle beach as a married man
surprise,gotta terabyte of space to store movies
neutral,juddday
love,ur wlcm the pleasure is all mine jackie
happiness,brought some new glass for my camera
love,to all my beautiful followers check me out on youtube maybe www youtube com user theboomtube thnx loads
neutral,starting some work on final year project just making some test pieces in flash to see how things could work listning to ipod too
neutral,you don t get that from marcus i must say sambradley
neutral,strange that is exactly the chapter god laid on my heart to read in the message yeaterday morning he works in mysterious ways
fun,cool what did you get
happiness,goooooood morning
fun,pigs catching swine flu and avian flu risking the development of flying pig flu awesomely funny
sadness,hey hunnie how are u i miss talkin to u ty for the follow
happiness,says good evening
neutral,posting my first tweet
neutral,ta babe you know me i do love your curried
worry,uggg my computer is running sooo slow today it s driving me batty guess its time to remove files and defrag again ugg want a mac
worry,gosh i ve a stinky old headache maybe i should have lunchfast
relief,it s my birthday today running the mile tomorrow ughh but then choir concert
surprise,that mango shake made all the difference
sadness,does not want to go to school oh well i get out early anyways
neutral,get my ass out the door and go to work i m goin i m goin
worry,i wish i could ve been there demi you need to throw in a toronto canada show this summer please
love,new album is truly genius so happy with it
surprise,spiderwoman she s an amazing mum gr  blogger gr  mentor on top of that climbs walls via
neutral,well that is nice loving the new friends organiser too
sadness,it s a dreary monday morning and i slept like crap give me a break
sadness,i think he thought about it but then i sneezed on him
neutral,browsing find everything about university interior design
hate,you are very lucky my legs did not like how long it takes to dry my hair this morning
happiness,whatever i know you like it hahahhah
neutral,watching spongebob
happiness,birthday girl in the house tweet tweet suckas
happiness,twittering while my hair dries just washed it in macadamia and orange shampoo smells gorgeous
relief,phlegmily green house that was clever but ever sooooooo eeeeewwwwww more slow clapping get well soon
happiness,yay i won at the bags giveaway from and those bags are so pretty or maybe i ll have a belt we ll see
happiness,hi celebxxxvidsyh and aybygw thanks for following
relief,artwork for the single is now up woooot woooot
happiness,ohhhh excellent song hello my friend
neutral,im almost to   updates   more to goo
happiness,feeling better now that it breakfast time
relief,thanks for the well wishes and hope ur day is also quite successful
empty,cant thank you enough who is nitin between
neutral,tom delonge
neutral,trying tweetdeck have seen you are twittering with that programme so i thought i should give it a try
neutral,g mornin twitterville took the day off from tweet n yesterday i m jonesing to get back into it today
happiness,get me one of those and maybe next time
love,keeping doing your thing your inspiration for all black women sending positive energy your way
happiness,oh okay cool
empty,ok thanks do you like my new pic
worry,dreamwidth a new journaling site that just went into open beta
happiness,off to the banks to get this thing rolling hooray for days off
fun,omg j o n a s is my new fave show   one guess as to why hahahha
love,i kinda forgot how much i love the darkness
happiness,would love to see that
neutral,  weeks today untill my  th birthday yahoo
love,lol i don t know but you dont need the plant i ll give you a hug instead hugs
neutral,that ll do it too
neutral,hey you
worry,there s finally time it s raining and the hockey doesn t start until   good idea for a myepisodes com script but it s me
neutral,hmm should be okay with any of em dm me your e mail and i ll send the install notes over
neutral,thankyooooou
neutral,is getting the kids ready for school before deciding the workout du jour
neutral,ey twitters home again from school and i m still cold and i haven t planned nothing today just take it easy
love,happy star wars day twitters
worry,helaas en thanks
surprise,thought u said twitter was crap bellion
neutral,don t worry i won t i ll send it to you as soon as i land in delhi i ll let you know about the price in a little while
love,beautiful landscape it seems very quiet
relief,will just take a bath
fun,woop rehearsing songs yep sounds even enough to me
worry,off to friendss for theree birthdayy x
hate,you suck
happiness,propellerheads has been on my harddrive for a long while just got my music repo back in shape this we and felt nostalgic
empty,following keep me updated for the latest dance scene event
empty, nd period studyhall remembered my ipod music time
worry,its really incredibly gross outside so im hoping to get alot done int he house today including pics on the blog morning friends
neutral,why
fun,yeah it good but dont click the red x because it shuts it down but other then that its good and when u minimize it it goes
neutral,if you ve jailbroken or went to     early prepare to be bricked
happiness,cool your too good to me you know
love,had an awesome weekend and an awesome turn out to my rummage sales on friday and saturday
happiness,saw fiddler with topol the girls looooved it next month annie  th row can t wait trip   the music store for fiddler sheet music
worry,is cheering on the arsenal ladies and missing my m x
enthusiasm,when you re driven to be in the theatre you develop a thick skin   yo s been auditioning since she was   gotten   part
worry,possible case of h n  at ft knox ky note this is for info purposes only so there s still no need to panic
neutral,hey not anymore i m back now
love,had the best wknd with her man and levi and sara love u guys
worry,good morning hun i loved the movie what happens in vegas it is such a good movie
relief,good weather reminds me i read your post on sugar cane juice n other things this weather calls for some of those things
neutral,yes
neutral,good afternoon jonas brothers x
happiness,happy starwarsday may the  th be with you from everyone
neutral,glad i trudged through the first   pages of anathem now on pg  it s been a long time since i wanted to call in sick just to read
neutral,morning tweet tweet
neutral,cool photo is that outside your place
happiness,buenos dias mundo de twitter eating b fast and watching sex on fire video b  i go to work
love,well how ya gettin on lol love frm ireland
worry,computers are a great distraction but sometimes you should be exercising to getting your chores done instead
neutral,jacqueline wilson day on cbbc
hate,i dont know whats worse g s twittering or your muriel jms is the worst anyway
love,on route home parents  th wedding anniversary  day gona take em   dinner let s c if i find a woman i can be  getha with   that long
surprise,trying to work out how to use twitter
happiness,hey miss jane how are you how goes the film hope all is good with you and your family
neutral,drying my hair
surprise,rocket surgery hey haha i thought it was rocket science oh is that all i knew that i swear thank you
surprise,yes come through tell a friend to tell a friend to tell a friend
neutral,bawkmarked
love,i hate school but i love chiodos
happiness,and good morning to you too
sadness,you re right you don t do sympathy very well
relief,by the way one of my goals this year was to forgive people you have no idea how much has been lifted off my shoulders i feel better
happiness,gonna go   bed now night tweeters dont think about me when you sleep hahah nite all
neutral,better go and put my clothes on guys even if p j s are warm and moveable
happiness,glad to be home punched out late today i am very tired thank goodness i am off tonight will make sure i do something fun today
neutral,supp
happiness,haha nuu solo qoincideencia en seriooo
neutral,is going to rye house speedway
relief,not a lonely day after all
relief,u don t have school today
neutral,in math class now about to shoot myself because its so boring
worry,i know i m so slow its horrible don t tell on me
happiness,im sure he will and if its not today maybe it will be tomorrow
neutral,thanxs hun you too
relief,call me when you have time and a good phone i wanna catch up with you i love you and miss you
love,thanks i love misery business paramore is such a great band
relief,everythin s great and dandy thanks for asking how re you
happiness,at school rusty just put oh it is love on my ipod awh
fun,wow thanks for saying that man i d love to illustrate children s books
neutral,dont look at my toes put shoes on then painted big toe
happiness,good morning monday i feel as though you came to visit too early but i am happy to see you none the less
love,happy birthday to
relief,that s called dedication
worry,we shall see
love,lol thanks for showing me site i won t tell hubby if you won t
happiness,in bed eating chocolates after   super parties yay playing with the new camera could i be an amazing photographer
neutral,hahah ive got ginger hair nao
happiness,is also very excited for the blazin squad revival im rooting for em their new song
fun,hm what to do a bit of work a bit of fun
worry,oh please you don t have to do that to me don t bother
happiness,helloooo
neutral,wallace and gromit is on bbc 
sadness,off to school so tired didnt hear the   texts i had last night lol still tired but i love jesus christ
happiness,i m looking forward too see and hear you in norway live fast
neutral,i m on my way it may take me a while to get there since i m coming from the us did you have fun last night
worry,fuck it you don t look well you have to go home
love,monday and i am at work and the legs are a still hurting a little smile
love,happy b day ma freaaaaaaak  
happiness,after work hillcats game   cent hot dogs haha
surprise,yep still a few seats left for pracc workshop w see you there
happiness,its gonna be a beautiful day
neutral,are you playing with rico and growling at him
relief,i agree with you
neutral,in worst case cenario i ll show up on offf with a white mask and scare everyone even better everyone should wear a mask besides me
neutral,i love this one me victor ate guillian and dexter
empty,my latest obession
worry,is worried hopeful that i cought giardia from the foam tonight
sadness,thank you
love,reminising on such a wonderful day yesterday with my family and my love nothing like shooting some basketball with the men in my life
worry,yup def swine flu i think it was the sausage
surprise,my pic is back out of the blue
happiness,i love those creditcard sized memory sticks and microsoft keeps sending them to me
love,might be seeing my god mothers little boy in a bit leon so cute  
happiness,cant wait to do some of those things
happiness,new stripey top day
happiness,i m a   reagan con according to this quiz
enthusiasm,i m getting back into again
worry,time for me to go to bed am very tired catch up with you all in a couple of days when i land recover from flying to denmark
happiness,one final down two to go
neutral,cheers we will defo give you a call
neutral,back from brunch hopefully i lured two more friends here
relief,i agree i like the new pic
love,heyy shantell twitter is cool thats why and guess what i followed britney spears and she followed me back
happiness,no   is a good price considering who you are going to see right
happiness,happy star wars day everyone and enjoy the holiday uk
neutral,total tv quote not sure if u would know it
happiness,today in a week i am   yiha
neutral,just booked some tickets for jessicaaaa
surprise,it is a universal treat
neutral,hey r u back in la right now what was ur favorite part bout europe i ve never been out of the country xcept canada xo jenna
love,that is incredibly sweet what a good hubby
neutral,so bored
sadness,in pain from earlier gym session a necessary evil after too much beer this past year
fun,unless you re gretel killeen apparently you did look pretty damn good
surprise,there is a faux gothy chick looking at me sorry i am not going to camden and i like pop punk and jimmy eat world
happiness,had such a great weekend glad it s sunny out today
neutral,good luck this week i know you ll handle it with grace
worry,bethenny i have one fastsmallballbuster y question i promise not to weirdherout w the fact it may be on my visionboard
love,chilling with my baybee sarah i love this girl
neutral,hmmmm i wonder how she my number
enthusiasm,rest then it s your day off
love,welcome back and thanks for the pictures you made my morning   better
happiness,in paris till friday
neutral,happy belated birthday francesc fabregas wish you all the best fabre
neutral,watching alias from the beginning approximately for the  th time
neutral,indian or the cowboy actually considering going to the carnival
neutral,ok babe gotta go back to work tweet you later
surprise,i was thinking the swine markets are in decline but since we can t say that anymore
happiness,good morning everyone nice to see you today hope you a wonderful and funny day
empty,off to work i go
worry,night diana and if you travel soon take care
relief,only a month left of high school thank god i am ready for summer
love,yes dahling you are definitely one awesome tweep i m sending love and kindness across the ocean to you
neutral,invisible car helps to boost recycling honest
neutral,thanks
fun,morning welcome new followers i tweet business pleasure so just fair warning
neutral,day   of back to work day   went allllllllright i was only exposed to the swine flu for   hours so thats ok i think just wash my hands
love,love it
enthusiasm,about to dye my hair and do my nails
fun,hahahha but days off are cool when nothings open its like isolated and haha cool
love,good morning twitter peeps what is on your agenda today
happiness,i saw it and i liked it not bad
love,i l u so much see u at school todaay
happiness,will do promise thanks
happiness,back in from li  hours ago n still made it to work yay me
neutral,lol minimize the use of computers or discover ecofriendly devices
worry,i want you to text me first everyday not me
relief,yep nothing to worry about
love,someone s a sweet tooth i was dying for somethin sweet so i ve attacked the chock coated tiny teddies all i could find lol
enthusiasm,ha ha might be i ve doubled my morning intake already in the last couple of days now have a huge bowlful
love,i like the sound of that
happiness,hella worth it even if you don t need the full   now
love,i feel so inadequate with my   followers now send enzyte
happiness,im doing great thank you
enthusiasm,waiting on the cue for kenny
relief,on way to birmingham sewing in the van punk
relief,the end is not as far as the start
happiness,listening to some bands recommended to me by sarrah i really like the friday night boys  
happiness,more coffee
happiness,spring pictures today going to schoooool
worry,i know i m totally excited
love,how fun to see what people on the other side of the pond are getting up to right now thanks so much for sharing
fun,aww sweet
enthusiasm,wow can t believe monday is here again already i hope everyone is well today
worry,don t frown my lil aussie i still love you muah
worry,major fail since you asked
worry,now eating and meeting at the same time sigh well well i want to start work out too but will have to wait move to my new house
enthusiasm,oficially back to work all systems up and running smoothly
happiness,i m yours jason mraz looking for an electric guitar yay  
neutral,i just joined
happiness,finish line for team alpha allstars was a great day and good to in the winning company team
surprise,thanks for the follow my new twitpeeps
sadness,yes i m the only stupid girl of my kind
neutral,haha and i just got an email that truth is now following me on twitter a sign that i need to do away with the obscure mind games
neutral,says karma strikes more than twice
happiness,my fav cd
relief,drinking tea and eating choc chip cookies going to head to sleep soon night all
worry,working late but yet so fun hearing my colleagues funny song lists
happiness,looking forward to the finale of the race next week missing my castle girls though any and all race fans welcome to watch chez moi
neutral,you will know me and kristi in raleigh right
worry,good morning
sadness,it has however got me out of doing the gardening something for which i am eternally pleased
enthusiasm,likes patricia s dress
surprise,do you click on the link after the post i can t believe how much sex i m getting i mean come on
happiness,yehey summer so exciteeeddd balme it on the a a a a a alcohol
sadness,hello i d like a little chat but can t dm you is there a mail id
neutral,thanks
neutral,        words day       words hour         words minute no pressure
happiness,very nice i cleared my head
enthusiasm,allright looking forward to it
happiness,building the radio studio from which we re going to podcast from it s for our foundation called the insight foundation
